query_answer_scope,canonical_question,source_record_id,source_title,source_date,wayback_capture_timestamp,wayback_capture_url,source_original_url,channel,network,role_group,role_rank,access_level_numeric,display_nickname,alternate_nickname_text,source_display_name,evidence_status,privacy_tier,source_path,answer_sentence
canal_barra_master_history,"Who has been Master of Canal #barra?",cb_access_19990623_004,ChanServ access list / operator meeting photo,1999-06-23,,,local_founder_held_photo,#barra,Brasnet,master,,10,Lucas-Rio,Lucas_Rio,,founder_held_primary_material_visual_transcription_needs_review,historical_public_nickname,data/raw/1999-06-23/access-list-1999-06-23.csv,"Lucas-Rio is documented with access level 10 in the 1999-06-23 access list; this index treats access level 10 as Master-level access."
canal_barra_master_history,"Who has been Master of Canal #barra?",cb_access_19990623_008,ChanServ access list / operator meeting photo,1999-06-23,,,local_founder_held_photo,#barra,Brasnet,master,,10,barMan,BarMan,,founder_held_primary_material_visual_transcription_needs_review,historical_public_nickname,data/raw/1999-06-23/access-list-1999-06-23.csv,"barMan is documented with access level 10 in the 1999-06-23 access list; this index treats access level 10 as Master-level access."
canal_barra_master_history,"Who has been Master of Canal #barra?",cb_access_19990623_010,ChanServ access list / operator meeting photo,1999-06-23,,,local_founder_held_photo,#barra,Brasnet,master,,10,negaum,NEGAUM,,founder_held_primary_material_visual_transcription_needs_review,historical_public_nickname,data/raw/1999-06-23/access-list-1999-06-23.csv,"negaum is documented with access level 10 in the 1999-06-23 access list; this index treats access level 10 as Master-level access."
canal_barra_master_history,"Who has been Master of Canal #barra?",cb_access_19990623_011,ChanServ access list / operator meeting photo,1999-06-23,,,local_founder_held_photo,#barra,Brasnet,master,,10,WaterHand,,,founder_held_primary_material_visual_transcription_needs_review,historical_public_nickname,data/raw/1999-06-23/access-list-1999-06-23.csv,"WaterHand is documented with access level 10 in the 1999-06-23 access list; this index treats access level 10 as Master-level access."
canal_barra_master_history,"Who has been Master of Canal #barra?",cb_access_19990623_013,ChanServ access list / operator meeting photo,1999-06-23,,,local_founder_held_photo,#barra,Brasnet,master,,10,_pilar_,_Pilar_,,founder_held_primary_material_visual_transcription_needs_review,historical_public_nickname,data/raw/1999-06-23/access-list-1999-06-23.csv,"_pilar_ is documented with access level 10 in the 1999-06-23 access list; this index treats access level 10 as Master-level access."
canal_barra_master_history,"Who has been Master of Canal #barra?",cb_access_200012_002,Lista de Acesso do Canal #Barra da rede Brasnet - Dez 2000,2000-12,20010221233151,http://web.archive.org/web/20010221233151/http://www.canalbarra.com/acesso.htm,http://www.canalbarra.com/acesso.htm,#barra,Brasnet,master,2,,NATHALIA_GAUCHA,,Nathalia,archived_web_capture,public_historical_access_list,data/raw/governance/access-list-2000-12.csv,"NATHALIA_GAUCHA is documented as Master of Canal #barra in the December 2000 archived access list."
canal_barra_master_history,"Who has been Master of Canal #barra?",cb_access_200012_003,Lista de Acesso do Canal #Barra da rede Brasnet - Dez 2000,2000-12,20010221233151,http://web.archive.org/web/20010221233151/http://www.canalbarra.com/acesso.htm,http://www.canalbarra.com/acesso.htm,#barra,Brasnet,master,2,,NEGAUM,,Diego,archived_web_capture,public_historical_access_list,data/raw/governance/access-list-2000-12.csv,"NEGAUM is documented as Master of Canal #barra in the December 2000 archived access list."
canal_barra_master_history,"Who has been Master of Canal #barra?",cb_access_200012_004,Lista de Acesso do Canal #Barra da rede Brasnet - Dez 2000,2000-12,20010221233151,http://web.archive.org/web/20010221233151/http://www.canalbarra.com/acesso.htm,http://www.canalbarra.com/acesso.htm,#barra,Brasnet,master,2,,_Pilar_,,Pilar,archived_web_capture,public_historical_access_list,data/raw/governance/access-list-2000-12.csv,"_Pilar_ is documented as Master of Canal #barra in the December 2000 archived access list."
canal_barra_master_history,"Who has been Master of Canal #barra?",cb_access_200012_005,Lista de Acesso do Canal #Barra da rede Brasnet - Dez 2000,2000-12,20010221233151,http://web.archive.org/web/20010221233151/http://www.canalbarra.com/acesso.htm,http://www.canalbarra.com/acesso.htm,#barra,Brasnet,master,2,,Mr_Angelo,,Angelo,archived_web_capture,public_historical_access_list,data/raw/governance/access-list-2000-12.csv,"Mr_Angelo is documented as Master of Canal #barra in the December 2000 archived access list."
canal_barra_master_history,"Who has been Master of Canal #barra?",cb_access_200012_006,Lista de Acesso do Canal #Barra da rede Brasnet - Dez 2000,2000-12,20010221233151,http://web.archive.org/web/20010221233151/http://www.canalbarra.com/acesso.htm,http://www.canalbarra.com/acesso.htm,#barra,Brasnet,master,2,,|Mad|,,,archived_web_capture,public_historical_access_list,data/raw/governance/access-list-2000-12.csv,"|Mad| is documented as Master of Canal #barra in the December 2000 archived access list."
canal_barra_master_history,"Who has been Master of Canal #barra?",cb_access_200012_007,Lista de Acesso do Canal #Barra da rede Brasnet - Dez 2000,2000-12,20010221233151,http://web.archive.org/web/20010221233151/http://www.canalbarra.com/acesso.htm,http://www.canalbarra.com/acesso.htm,#barra,Brasnet,master,2,,ClaraM,,Clara,archived_web_capture,public_historical_access_list,data/raw/governance/access-list-2000-12.csv,"ClaraM is documented as Master of Canal #barra in the December 2000 archived access list."
