event_id,event_name,event_type,event_date,venue_name,city,state,country,band_name,performance_order,song_title,is_encore,evidence_status,privacy_tier,source_context,notes
cb_5th_anniversary_ilha_dos_pescadores,Canal Barra 5th Anniversary Party,anniversary_party,unknown,Ilha dos Pescadores,Rio de Janeiro,RJ,Brazil,Malucos da Ponte,1,Pôr do Sol,false,founder_statement,public_music_metadata,founder-provided setlist,"Song title normalized with accent; original user input: Por do Sol."
cb_5th_anniversary_ilha_dos_pescadores,Canal Barra 5th Anniversary Party,anniversary_party,unknown,Ilha dos Pescadores,Rio de Janeiro,RJ,Brazil,Malucos da Ponte,2,Corpo Dourado,false,founder_statement,public_music_metadata,founder-provided setlist,
cb_5th_anniversary_ilha_dos_pescadores,Canal Barra 5th Anniversary Party,anniversary_party,unknown,Ilha dos Pescadores,Rio de Janeiro,RJ,Brazil,Malucos da Ponte,3,Eu e Você,false,founder_statement,public_music_metadata,founder-provided setlist,
cb_5th_anniversary_ilha_dos_pescadores,Canal Barra 5th Anniversary Party,anniversary_party,unknown,Ilha dos Pescadores,Rio de Janeiro,RJ,Brazil,Malucos da Ponte,4,Só Por Querer,false,founder_statement,public_music_metadata,founder-provided setlist,
cb_5th_anniversary_ilha_dos_pescadores,Canal Barra 5th Anniversary Party,anniversary_party,unknown,Ilha dos Pescadores,Rio de Janeiro,RJ,Brazil,Malucos da Ponte,5,Não Basta,false,founder_statement,public_music_metadata,founder-provided setlist,
cb_5th_anniversary_ilha_dos_pescadores,Canal Barra 5th Anniversary Party,anniversary_party,unknown,Ilha dos Pescadores,Rio de Janeiro,RJ,Brazil,Malucos da Ponte,6,Solidão,false,founder_statement,public_music_metadata,founder-provided setlist,
cb_5th_anniversary_ilha_dos_pescadores,Canal Barra 5th Anniversary Party,anniversary_party,unknown,Ilha dos Pescadores,Rio de Janeiro,RJ,Brazil,Malucos da Ponte,7,Cristalina,false,founder_statement,public_music_metadata,founder-provided setlist,
cb_5th_anniversary_ilha_dos_pescadores,Canal Barra 5th Anniversary Party,anniversary_party,unknown,Ilha dos Pescadores,Rio de Janeiro,RJ,Brazil,Malucos da Ponte,8,Futebol de Botão,false,founder_statement,public_music_metadata,founder-provided setlist,
cb_5th_anniversary_ilha_dos_pescadores,Canal Barra 5th Anniversary Party,anniversary_party,unknown,Ilha dos Pescadores,Rio de Janeiro,RJ,Brazil,Malucos da Ponte,9,Tudo Que Eu Queria,false,founder_statement,public_music_metadata,founder-provided setlist,
cb_5th_anniversary_ilha_dos_pescadores,Canal Barra 5th Anniversary Party,anniversary_party,unknown,Ilha dos Pescadores,Rio de Janeiro,RJ,Brazil,Malucos da Ponte,10,Todas as Estradas,false,founder_statement,public_music_metadata,founder-provided setlist,
cb_5th_anniversary_ilha_dos_pescadores,Canal Barra 5th Anniversary Party,anniversary_party,unknown,Ilha dos Pescadores,Rio de Janeiro,RJ,Brazil,Malucos da Ponte,11,Maluco da Ponte,false,founder_statement,public_music_metadata,founder-provided setlist,
cb_5th_anniversary_ilha_dos_pescadores,Canal Barra 5th Anniversary Party,anniversary_party,unknown,Ilha dos Pescadores,Rio de Janeiro,RJ,Brazil,Malucos da Ponte,12,Outro Alguém,false,founder_statement,public_music_metadata,founder-provided setlist,
cb_5th_anniversary_ilha_dos_pescadores,Canal Barra 5th Anniversary Party,anniversary_party,unknown,Ilha dos Pescadores,Rio de Janeiro,RJ,Brazil,Malucos da Ponte,13,In My Eyes,false,founder_statement,public_music_metadata,founder-provided setlist,
cb_5th_anniversary_ilha_dos_pescadores,Canal Barra 5th Anniversary Party,anniversary_party,unknown,Ilha dos Pescadores,Rio de Janeiro,RJ,Brazil,Malucos da Ponte,14,Seus Olhos,false,founder_statement,public_music_metadata,founder-provided setlist,
cb_5th_anniversary_ilha_dos_pescadores,Canal Barra 5th Anniversary Party,anniversary_party,unknown,Ilha dos Pescadores,Rio de Janeiro,RJ,Brazil,Malucos da Ponte,15,Corpo Dourado,true,founder_statement,public_music_metadata,founder-provided setlist,"Encore / bis. This makes 15 performances, with 14 unique song titles."
