event_id,event_name,event_date,venue_name,city,state,country,page_number,item_position,caption,extracted_nicknames,source_type,evidence_status,privacy_tier,notes
cb_ircontro_20010221_rosa_dos_ventos,Despedida da Ana Paula Barra,2001-02-21,Rosa dos Ventos,Rio de Janeiro,RJ,Brazil,1,1,Ana-Paula_Barra,Ana-Paula_Barra,founder_provided_caption,partially_documented,nickname_level_only,Caption transcribed from founder-provided screenshot/page text.
cb_ircontro_20010221_rosa_dos_ventos,Despedida da Ana Paula Barra,2001-02-21,Rosa dos Ventos,Rio de Janeiro,RJ,Brazil,1,2,"Marimari, T-bone e sabrina","Marimari; T-bone; sabrina",founder_provided_caption,partially_documented,nickname_level_only,Caption transcribed from founder-provided screenshot/page text.
cb_ircontro_20010221_rosa_dos_ventos,Despedida da Ana Paula Barra,2001-02-21,Rosa dos Ventos,Rio de Janeiro,RJ,Brazil,1,3,"Mitcha, Joaninha e Tigresa.","Mitcha; Joaninha; Tigresa",founder_provided_caption,partially_documented,nickname_level_only,Caption transcribed from founder-provided screenshot/page text.
cb_ircontro_20010221_rosa_dos_ventos,Despedida da Ana Paula Barra,2001-02-21,Rosa dos Ventos,Rio de Janeiro,RJ,Brazil,1,4,"Wulf, BarMan e |Mad|","Wulf; BarMan; |Mad|",founder_provided_caption,partially_documented,nickname_level_only,Caption transcribed from founder-provided screenshot/page text.
cb_ircontro_20010221_rosa_dos_ventos,Despedida da Ana Paula Barra,2001-02-21,Rosa dos Ventos,Rio de Janeiro,RJ,Brazil,1,5,"Tigresa_barra, Magho e |Mad|","Tigresa_barra; Magho; |Mad|",founder_provided_caption,partially_documented,nickname_level_only,Caption transcribed from founder-provided screenshot/page text.
cb_ircontro_20010221_rosa_dos_ventos,Despedida da Ana Paula Barra,2001-02-21,Rosa dos Ventos,Rio de Janeiro,RJ,Brazil,1,6,CAMY e Mitcha,CAMY; Mitcha,founder_provided_caption,partially_documented,nickname_level_only,Caption transcribed from founder-provided screenshot/page text.
cb_ircontro_20010221_rosa_dos_ventos,Despedida da Ana Paula Barra,2001-02-21,Rosa dos Ventos,Rio de Janeiro,RJ,Brazil,1,7,Fuska^66 e Mr_Angelo,Fuska^66; Mr_Angelo,founder_provided_caption,partially_documented,nickname_level_only,Caption transcribed from founder-provided screenshot/page text.
cb_ircontro_20010221_rosa_dos_ventos,Despedida da Ana Paula Barra,2001-02-21,Rosa dos Ventos,Rio de Janeiro,RJ,Brazil,1,8,"BarMan, Negaum, Renata","BarMan; Negaum; Renata",founder_provided_caption,partially_documented,nickname_level_only,Caption transcribed from founder-provided screenshot/page text.
cb_ircontro_20010221_rosa_dos_ventos,Despedida da Ana Paula Barra,2001-02-21,Rosa dos Ventos,Rio de Janeiro,RJ,Brazil,1,9,Magho e Tigresa,Magho; Tigresa,founder_provided_caption,partially_documented,nickname_level_only,Caption transcribed from founder-provided screenshot/page text.
cb_ircontro_20010221_rosa_dos_ventos,Despedida da Ana Paula Barra,2001-02-21,Rosa dos Ventos,Rio de Janeiro,RJ,Brazil,1,10,"Wulf, Marssel, Magho, BarMan e |Mad|","Wulf; Marssel; Magho; BarMan; |Mad|",founder_provided_caption,partially_documented,nickname_level_only,Caption transcribed from founder-provided screenshot/page text.
cb_ircontro_20010221_rosa_dos_ventos,Despedida da Ana Paula Barra,2001-02-21,Rosa dos Ventos,Rio de Janeiro,RJ,Brazil,1,11,"Don_jual_del_rio, Junior, {kadu}, Negaum e Renata","Don_jual_del_rio; Junior; {kadu}; Negaum; Renata",founder_provided_caption,partially_documented,nickname_level_only,Caption transcribed from founder-provided screenshot/page text.
cb_ircontro_20010221_rosa_dos_ventos,Despedida da Ana Paula Barra,2001-02-21,Rosa dos Ventos,Rio de Janeiro,RJ,Brazil,1,12,"Carol_Super_Love donanfer, {kadu}","Carol_Super_Love; donanfer; {kadu}",founder_provided_caption,partially_documented,nickname_level_only,Caption transcribed from founder-provided screenshot/page text.
cb_ircontro_20010221_rosa_dos_ventos,Despedida da Ana Paula Barra,2001-02-21,Rosa dos Ventos,Rio de Janeiro,RJ,Brazil,2,1,"T-bone, Barman, Paty-Gash..","T-bone; Barman; Paty-Gash..",founder_provided_caption,partially_documented,nickname_level_only,Caption transcribed from founder-provided screenshot/page text.
cb_ircontro_20010221_rosa_dos_ventos,Despedida da Ana Paula Barra,2001-02-21,Rosa dos Ventos,Rio de Janeiro,RJ,Brazil,2,2,BabyLou,BabyLou,founder_provided_caption,partially_documented,nickname_level_only,Caption transcribed from founder-provided screenshot/page text.
